commit 531b928ea65270a47aeb91c33a4ede447f152103
Merge: a2c56de c306853
Author: bors <bors@rust-lang.org>
Date:   Sat Mar 12 16:18:34 2016 -0800

    Auto merge of #32140 - ruud-v-a:avx-intrinsics, r=alexcrichton
    
    Add AVX broadcast and conversion intrinsics
    
    This adds the following intrinsics:
    
     * `_mm256_broadcast_pd`
     * `_mm256_broadcast_ps`
     * `_mm256_cvtepi32_pd`
     * `_mm256_cvtepi32_ps`
     * `_mm256_cvtpd_epi32`
     * `_mm256_cvtpd_ps`
     * `_mm256_cvtps_epi32`
     * `_mm256_cvtps_pd`
     * `_mm256_cvttpd_epi32`
     * `_mm256_cvttps_epi32`
    
    The "avx" codegen feature must be enabled to use these.
rustc: ./rust-encoding.0.2.32
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling encoding v0.2.32 (file:///root/benchmarks/rust-encoding.0.2.32)
time: 0.023; rss: 42MB	parsing
Lines of code:             6441
Pre-expansion node count:  30335
time: 0.006; rss: 42MB	configuration 1
time: 0.000; rss: 42MB	recursion limit
time: 0.000; rss: 42MB	gated macro checking
time: 0.000; rss: 42MB	crate injection
time: 0.003; rss: 45MB	macro loading
time: 0.000; rss: 45MB	plugin loading
time: 0.000; rss: 45MB	plugin registration
time: 0.045; rss: 48MB	expansion
time: 0.001; rss: 48MB	complete gated feature checking 1
time: 0.007; rss: 48MB	configuration 2
time: 0.000; rss: 48MB	gated configuration checking
time: 0.004; rss: 48MB	maybe building test harness
time: 0.003; rss: 48MB	prelude injection
time: 0.000; rss: 48MB	checking that all macro invocations are gone
time: 0.000; rss: 48MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 48MB	complete gated feature checking 2
time: 0.000; rss: 48MB	const fn bodies and arguments
Post-expansion node count: 41783
time: 0.003; rss: 48MB	assigning node ids
time: 0.004; rss: 52MB	lowering ast -> hir
time: 0.001; rss: 54MB	indexing hir
time: 0.001; rss: 54MB	attribute checking
time: 0.002; rss: 54MB	early lint checks
time: 0.001; rss: 53MB	external crate/lib resolution
time: 0.000; rss: 53MB	language item collection
time: 0.009; rss: 61MB	resolution
time: 0.000; rss: 61MB	lifetime resolution
time: 0.000; rss: 61MB	looking for entry point
time: 0.000; rss: 61MB	looking for plugin registrar
time: 0.002; rss: 63MB	region resolution
time: 0.000; rss: 63MB	loop checking
time: 0.000; rss: 63MB	static item recursion checking
time: 0.005; rss: 65MB	type collecting
time: 0.000; rss: 65MB	variance inference
time: 0.021; rss: 80MB	coherence checking
time: 0.018; rss: 80MB	wf checking
time: 0.012; rss: 81MB	item-types checking
time: 0.185; rss: 93MB	item-bodies checking
time: 0.000; rss: 93MB	drop-impl checking
time: 0.011; rss: 93MB	const checking
time: 0.002; rss: 93MB	privacy checking
time: 0.000; rss: 93MB	stability index
time: 0.001; rss: 93MB	intrinsic checking
time: 0.000; rss: 93MB	effect checking
time: 0.006; rss: 93MB	match checking
time: 0.002; rss: 93MB	liveness checking
time: 0.006; rss: 93MB	rvalue checking
time: 0.022; rss: 97MB	MIR dump
time: 0.000; rss: 97MB	MIR passes
time: 0.022; rss: 97MB	borrow checking
time: 0.000; rss: 97MB	reachability checking
time: 0.002; rss: 97MB	death checking
time: 0.002; rss: 97MB	stability checking
time: 0.000; rss: 97MB	unused lib feature checking
time: 0.018; rss: 97MB	lint checking
time: 0.000; rss: 97MB	resolving dependency formats
time: 0.002; rss: 97MB	erasing regions from MIR
  time: 0.024; rss: 107MB	translation item collection
  time: 0.058; rss: 145MB	write metadata
time: 0.321; rss: 145MB	translation
  time: 0.026; rss: 105MB	llvm function passes [0]
  time: 0.047; rss: 109MB	llvm module passes [0]
  time: 0.561; rss: 115MB	codegen passes [0]
  time: 0.001; rss: 99MB	codegen passes [0]
time: 0.698; rss: 99MB	LLVM passes
time: 0.052; rss: 97MB	linking
done
