commit 3157691f963a86776cb7e6a7842f566032890aba
Merge: 7d8100a 780f725
Author: bors <bors@rust-lang.org>
Date:   Tue May 3 04:23:13 2016 -0700

    Auto merge of #33330 - birkenfeld:issue-29121, r=Manishearth
    
    typeck: when suggesting associated fns, do not show call site as fallback
    
    In case we cannot produce a span for the location of the definition, just do not show a span at all.
    
    cc: #29121
rustc: ./inflate-0.1.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling inflate v0.1.0 (file:///root/benchmarks/inflate-0.1.0)
time: 0.004; rss: 46MB	parsing
Lines of code:             956
Pre-expansion node count:  4761
time: 0.001; rss: 46MB	configuration 1
time: 0.000; rss: 50MB	recursion limit
time: 0.000; rss: 50MB	crate injection
time: 0.003; rss: 53MB	macro loading
time: 0.000; rss: 53MB	plugin loading
time: 0.000; rss: 53MB	plugin registration
time: 0.084; rss: 60MB	expansion
time: 0.009; rss: 60MB	configuration 2
time: 0.000; rss: 60MB	gated configuration checking
time: 0.004; rss: 60MB	maybe building test harness
time: 0.004; rss: 60MB	prelude injection
time: 0.000; rss: 60MB	checking that all macro invocations are gone
time: 0.000; rss: 60MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 60MB	complete gated feature checking
time: 0.000; rss: 60MB	const fn bodies and arguments
Post-expansion node count: 54797
time: 0.004; rss: 60MB	assigning node ids
time: 0.004; rss: 62MB	collecting defs
time: 0.001; rss: 62MB	external crate/lib resolution
time: 0.009; rss: 66MB	lowering ast -> hir
time: 0.001; rss: 66MB	indexing hir
time: 0.001; rss: 66MB	attribute checking
time: 0.003; rss: 66MB	early lint checks
time: 0.001; rss: 63MB	language item collection
time: 0.010; rss: 74MB	name resolution
time: 0.001; rss: 74MB	lifetime resolution
time: 0.000; rss: 74MB	looking for entry point
time: 0.000; rss: 74MB	looking for plugin registrar
time: 0.003; rss: 74MB	region resolution
time: 0.000; rss: 74MB	loop checking
time: 0.000; rss: 74MB	static item recursion checking
time: 0.000; rss: 74MB	load_dep_graph
time: 0.001; rss: 75MB	type collecting
time: 0.000; rss: 75MB	variance inference
time: 0.010; rss: 88MB	coherence checking
time: 0.002; rss: 88MB	wf checking
time: 0.002; rss: 88MB	item-types checking
time: 2.750; rss: 113MB	item-bodies checking
time: 0.000; rss: 113MB	drop-impl checking
time: 0.014; rss: 114MB	const checking
time: 0.001; rss: 114MB	privacy checking
time: 0.000; rss: 114MB	stability index
time: 0.000; rss: 114MB	intrinsic checking
time: 0.001; rss: 114MB	effect checking
time: 0.003; rss: 114MB	match checking
time: 0.060; rss: 114MB	liveness checking
time: 0.009; rss: 114MB	rvalue checking
time: 0.034; rss: 128MB	MIR dump
time: 0.012; rss: 125MB	MIR passes
time: 0.198; rss: 127MB	borrow checking
time: 0.000; rss: 127MB	reachability checking
time: 0.003; rss: 127MB	death checking
time: 0.002; rss: 127MB	stability checking
time: 0.000; rss: 127MB	unused lib feature checking
time: 0.022; rss: 125MB	lint checking
time: 0.000; rss: 125MB	resolving dependency formats
time: 0.005; rss: 127MB	Prepare MIR codegen passes
  time: 0.010; rss: 131MB	translation item collection
  time: 0.001; rss: 132MB	codegen unit partitioning
  time: 0.003; rss: 150MB	write metadata
time: 0.358; rss: 142MB	translation
time: 0.000; rss: 142MB	assert dep graph
time: 0.000; rss: 142MB	serialize dep graph
  time: 0.025; rss: 104MB	llvm function passes [0]
  time: 0.004; rss: 105MB	llvm module passes [0]
  time: 0.492; rss: 110MB	codegen passes [0]
  time: 0.000; rss: 99MB	codegen passes [0]
time: 0.564; rss: 99MB	LLVM passes
time: 0.034; rss: 99MB	linking
done
