commit a2a8694128e738d194b33aa10698e6cf2e225879
Merge: 8f3e8c7 c8ee3f2
Author: bors <bors@rust-lang.org>
Date:   Sun May 29 11:23:00 2016 -0700

    Auto merge of #33859 - nrc:save-field-sub, r=pnkfelix
    
    save-analysis: be a bit more defensive with field sub-expressions
    
    Prevents an ice with `(...).f` since the sub-expression is in the AST but not the HIR.
    
    We could actually do better in this specific case, but it doesn't seem worth it.
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.036; rss: 53MB	parsing
Lines of code:             9154
Pre-expansion node count:  44646
time: 0.007; rss: 57MB	configuration 1
time: 0.000; rss: 57MB	recursion limit
time: 0.000; rss: 57MB	crate injection
time: 0.019; rss: 91MB	macro loading
time: 0.000; rss: 91MB	plugin loading
time: 0.000; rss: 91MB	plugin registration
time: 0.243; rss: 101MB	expansion
time: 0.000; rss: 101MB	gated configuration checking
time: 0.014; rss: 101MB	maybe building test harness
time: 0.011; rss: 101MB	prelude injection
time: 0.001; rss: 101MB	checking that all macro invocations are gone
time: 0.000; rss: 101MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 101MB	complete gated feature checking
Post-expansion node count: 101566
time: 0.010; rss: 101MB	assigning node ids
time: 0.003; rss: 101MB	collecting defs
time: 0.011; rss: 114MB	external crate/lib resolution
time: 0.007; rss: 114MB	early lint checks
time: 0.022; rss: 118MB	name resolution
time: 0.012; rss: 124MB	lowering ast -> hir
time: 0.001; rss: 126MB	indexing hir
time: 0.001; rss: 126MB	attribute checking
time: 0.001; rss: 118MB	language item collection
time: 0.002; rss: 118MB	lifetime resolution
time: 0.000; rss: 118MB	looking for entry point
time: 0.000; rss: 118MB	looking for plugin registrar
time: 0.006; rss: 122MB	region resolution
time: 0.001; rss: 122MB	loop checking
time: 0.001; rss: 122MB	static item recursion checking
time: 0.000; rss: 122MB	load_dep_graph
time: 0.043; rss: 124MB	type collecting
time: 0.000; rss: 124MB	variance inference
time: 0.046; rss: 131MB	coherence checking
time: 0.103; rss: 132MB	wf checking
time: 0.037; rss: 132MB	item-types checking
time: 0.544; rss: 142MB	item-bodies checking
time: 0.000; rss: 142MB	drop-impl checking
time: 0.045; rss: 142MB	const checking
time: 0.006; rss: 142MB	privacy checking
time: 0.001; rss: 142MB	stability index
time: 0.006; rss: 142MB	intrinsic checking
time: 0.002; rss: 142MB	effect checking
time: 0.016; rss: 142MB	match checking
time: 0.005; rss: 142MB	liveness checking
time: 0.033; rss: 145MB	rvalue checking
time: 0.071; rss: 154MB	MIR dump
time: 0.043; rss: 154MB	MIR passes
time: 0.075; rss: 154MB	borrow checking
time: 0.003; rss: 154MB	reachability checking
time: 0.006; rss: 154MB	death checking
time: 0.006; rss: 154MB	stability checking
time: 0.000; rss: 154MB	unused lib feature checking
time: 0.052; rss: 154MB	lint checking
time: 0.000; rss: 154MB	resolving dependency formats
time: 0.012; rss: 156MB	Prepare MIR codegen passes
  time: 0.132; rss: 160MB	write metadata
  time: 0.302; rss: 167MB	translation item collection
  time: 0.008; rss: 169MB	codegen unit partitioning
time: 1.816; rss: 289MB	translation
time: 0.001; rss: 289MB	assert dep graph
time: 0.000; rss: 289MB	serialize dep graph
  time: 0.136; rss: 182MB	llvm function passes [0]
  time: 0.053; rss: 183MB	llvm module passes [0]
  time: 1.617; rss: 183MB	codegen passes [0]
  time: 0.001; rss: 132MB	codegen passes [0]
time: 2.015; rss: 130MB	LLVM passes
time: 0.176; rss: 128MB	linking
done
