commit 54c133d3ba84b2399b0bfa2ceac89cf2dd003830
Merge: 6572a46 0038430
Author: bors <bors@rust-lang.org>
Date:   Sun Oct 16 20:00:14 2016 -0700

    Auto merge of #37082 - frewsxcv:session, r=jseyfried
    
    'src/librustc/session/filesearch.rs' refactoring and cleanup.
rustc: ./piston-image-0.10.3
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling image v0.10.3 (file:///root/benchmarks/piston-image-0.10.3)
time: 0.044; rss: 57MB	parsing
Lines of code:             12000
Pre-expansion node count:  90272
time: 0.000; rss: 57MB	recursion limit
time: 0.000; rss: 57MB	crate injection
time: 0.000; rss: 57MB	plugin loading
time: 0.000; rss: 57MB	plugin registration
time: 0.078; rss: 94MB	expansion
time: 0.000; rss: 94MB	maybe building test harness
time: 0.002; rss: 94MB	maybe creating a macro crate
Post-expansion node count: 148999
time: 0.000; rss: 94MB	checking for inline asm in case the target doesn't support it
time: 0.002; rss: 94MB	complete gated feature checking
time: 0.006; rss: 94MB	early lint checks
time: 0.001; rss: 94MB	AST validation
time: 0.022; rss: 99MB	name resolution
time: 0.013; rss: 109MB	lowering ast -> hir
time: 0.003; rss: 113MB	indexing hir
time: 0.002; rss: 113MB	attribute checking
time: 0.002; rss: 102MB	language item collection
time: 0.003; rss: 102MB	lifetime resolution
time: 0.000; rss: 102MB	looking for entry point
time: 0.000; rss: 102MB	looking for plugin registrar
time: 0.010; rss: 108MB	region resolution
time: 0.002; rss: 108MB	loop checking
time: 0.001; rss: 108MB	static item recursion checking
time: 0.055; rss: 109MB	compute_incremental_hashes_map
time: 0.000; rss: 109MB	load_dep_graph
time: 0.018; rss: 109MB	type collecting
time: 0.000; rss: 109MB	variance inference
time: 0.029; rss: 113MB	coherence checking
time: 0.091; rss: 114MB	wf checking
time: 0.149; rss: 119MB	item-types checking
time: 0.895; rss: 134MB	item-bodies checking
time: 0.000; rss: 134MB	drop-impl checking
time: 0.056; rss: 134MB	const checking
time: 0.011; rss: 134MB	privacy checking
time: 0.001; rss: 134MB	stability index
time: 0.008; rss: 134MB	intrinsic checking
time: 0.003; rss: 134MB	effect checking
time: 0.017; rss: 134MB	match checking
time: 0.011; rss: 134MB	liveness checking
time: 0.047; rss: 134MB	rvalue checking
time: 0.098; rss: 177MB	MIR dump
  time: 0.011; rss: 177MB	SimplifyCfg
  time: 0.022; rss: 177MB	QualifyAndPromoteConstants
  time: 0.025; rss: 177MB	TypeckMir
  time: 0.001; rss: 177MB	SimplifyBranches
  time: 0.005; rss: 177MB	SimplifyCfg
time: 0.063; rss: 177MB	MIR passes
time: 0.121; rss: 177MB	borrow checking
time: 0.004; rss: 177MB	reachability checking
time: 0.009; rss: 177MB	death checking
time: 0.010; rss: 179MB	stability checking
time: 0.000; rss: 179MB	unused lib feature checking
time: 0.071; rss: 179MB	lint checking
time: 0.000; rss: 179MB	resolving dependency formats
  time: 0.001; rss: 179MB	NoLandingPads
  time: 0.005; rss: 179MB	SimplifyCfg
  time: 0.012; rss: 179MB	EraseRegions
  time: 0.002; rss: 179MB	AddCallGuards
  time: 0.046; rss: 184MB	ElaborateDrops
  time: 0.001; rss: 184MB	NoLandingPads
  time: 0.009; rss: 184MB	SimplifyCfg
  time: 0.006; rss: 184MB	InstCombine
  time: 0.002; rss: 184MB	Deaggregator
  time: 0.000; rss: 184MB	CopyPropagation
  time: 0.001; rss: 184MB	AddCallGuards
  time: 0.000; rss: 184MB	PreTrans
time: 0.085; rss: 184MB	Prepare MIR codegen passes
  time: 0.073; rss: 186MB	write metadata
  time: 0.447; rss: 198MB	translation item collection
  time: 0.028; rss: 202MB	codegen unit partitioning
  time: 0.024; rss: 320MB	internalize symbols
time: 2.801; rss: 294MB	translation
time: 0.000; rss: 294MB	assert dep graph
time: 0.000; rss: 294MB	serialize dep graph
  time: 0.206; rss: 219MB	llvm function passes [0]
  time: 0.084; rss: 223MB	llvm module passes [0]
  time: 4.104; rss: 227MB	codegen passes [0]
  time: 0.001; rss: 227MB	codegen passes [0]
time: 4.711; rss: 227MB	LLVM passes
time: 0.000; rss: 227MB	serialize work products
time: 0.252; rss: 100MB	linking
done
