commit 82801b552ee8a683c40eb9fce5b892e649794648
Merge: 86896ba 521b2ea
Author: bors <bors@rust-lang.org>
Date:   Tue Dec 27 18:25:22 2016 +0000

    Auto merge of #38600 - arielb1:dead-drop, r=eddyb
    
    clear discriminant drop flag at the bottom of a drop ladder
    
    Fixes #38437.
    
    Beta-nominating because serious I-wrong.
    
    r? @eddyb
rustc: ./syntex-0.42.2@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.242; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.006; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 151MB	complete gated feature checking
time: 0.023; rss: 151MB	early lint checks
time: 0.007; rss: 151MB	AST validation
time: 0.075; rss: 166MB	name resolution
time: 0.059; rss: 199MB	lowering ast -> hir
time: 0.010; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.011; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.046; rss: 177MB	region resolution
time: 0.008; rss: 177MB	loop checking
time: 0.002; rss: 177MB	static item recursion checking
time: 0.381; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 182MB	stability checking
time: 0.056; rss: 189MB	type collecting
time: 0.004; rss: 189MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.089; rss: 199MB	wf checking
time: 0.198; rss: 207MB	item-types checking
time: 3.625; rss: 265MB	item-bodies checking
time: 0.000; rss: 265MB	drop-impl checking
time: 0.222; rss: 277MB	const checking
time: 0.069; rss: 277MB	privacy checking
time: 0.022; rss: 283MB	intrinsic checking
time: 0.016; rss: 283MB	effect checking
time: 0.052; rss: 283MB	match checking
time: 0.052; rss: 290MB	liveness checking
time: 0.183; rss: 292MB	rvalue checking
time: 0.381; rss: 481MB	MIR dump
  time: 0.058; rss: 483MB	SimplifyCfg
  time: 0.076; rss: 483MB	QualifyAndPromoteConstants
  time: 0.123; rss: 500MB	TypeckMir
  time: 0.005; rss: 500MB	SimplifyBranches
  time: 0.034; rss: 500MB	SimplifyCfg
time: 0.296; rss: 500MB	MIR cleanup and validation
time: 0.482; rss: 500MB	borrow checking
time: 0.026; rss: 500MB	reachability checking
time: 0.044; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.183; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.030; rss: 500MB	SimplifyCfg
  time: 0.073; rss: 509MB	EraseRegions
  time: 0.013; rss: 509MB	AddCallGuards
  time: 0.283; rss: 529MB	ElaborateDrops
  time: 0.004; rss: 529MB	NoLandingPads
  time: 0.054; rss: 529MB	SimplifyCfg
  time: 0.029; rss: 528MB	InstCombine
  time: 0.013; rss: 528MB	Deaggregator
  time: 0.003; rss: 528MB	CopyPropagation
  time: 0.035; rss: 528MB	SimplifyLocals
  time: 0.010; rss: 528MB	AddCallGuards
  time: 0.003; rss: 528MB	PreTrans
time: 0.554; rss: 528MB	MIR optimisations
  time: 0.068; rss: 538MB	write metadata
  time: 0.396; rss: 551MB	translation item collection
  time: 0.073; rss: 555MB	codegen unit partitioning
  time: 0.048; rss: 1457MB	internalize symbols
time: 11.851; rss: 1457MB	translation
time: 0.000; rss: 1457MB	assert dep graph
time: 1.451; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1197MB	llvm function passes [3]
time: 0.000; rss: 1199MB	llvm module passes [3]
time: 0.001; rss: 1199MB	llvm function passes [1]
time: 0.000; rss: 1203MB	llvm module passes [1]
time: 0.001; rss: 1206MB	llvm function passes [2]
time: 0.000; rss: 1206MB	llvm module passes [2]
time: 0.002; rss: 1206MB	llvm function passes [0]
time: 0.000; rss: 1206MB	llvm module passes [0]
time: 0.002; rss: 1206MB	codegen passes [3]
time: 0.003; rss: 1206MB	codegen passes [1]
time: 0.004; rss: 1206MB	llvm function passes [5]
time: 0.001; rss: 1208MB	llvm function passes [8]
time: 0.000; rss: 1208MB	llvm module passes [8]
time: 0.002; rss: 1208MB	llvm module passes [5]
time: 0.011; rss: 1210MB	llvm function passes [6]
time: 0.008; rss: 1210MB	codegen passes [2]
time: 0.006; rss: 1217MB	llvm module passes [6]
time: 0.018; rss: 1219MB	llvm function passes [4]
time: 0.008; rss: 1223MB	llvm module passes [4]
time: 0.022; rss: 1231MB	llvm function passes [10]
time: 0.024; rss: 1231MB	llvm function passes [2]
time: 0.000; rss: 1231MB	llvm function passes [43]
time: 0.000; rss: 1231MB	llvm module passes [43]
time: 0.030; rss: 1231MB	codegen passes [8]
time: 0.004; rss: 1235MB	codegen passes [43]
time: 0.003; rss: 1235MB	llvm function passes [8]
time: 0.001; rss: 1236MB	llvm module passes [8]
time: 0.009; rss: 1236MB	llvm module passes [10]
time: 0.041; rss: 1236MB	codegen passes [0]
time: 0.000; rss: 1236MB	llvm function passes [0]
time: 0.000; rss: 1236MB	llvm module passes [0]
time: 0.013; rss: 1236MB	llvm module passes [2]
time: 0.019; rss: 1236MB	llvm function passes [41]
time: 0.005; rss: 1238MB	codegen passes [0]
time: 0.000; rss: 1238MB	llvm function passes [0]
time: 0.000; rss: 1238MB	llvm module passes [0]
