commit 5a2b50b33df6015e5bae97c5224e3180885dcc66
Merge: 1336742 cba1304
Author: bors <bors@rust-lang.org>
Date:   Tue Dec 13 02:28:23 2016 +0000

    Auto merge of #38325 - frewsxcv:rollup, r=frewsxcv
    
    Rollup of 7 pull requests
    
    - Successful merges: #37052, #37941, #38067, #38164, #38202, #38264, #38299
    - Failed merges:
rustc: ./syntex-0.42.2@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.241; rss: 152MB	expansion
time: 0.000; rss: 152MB	maybe building test harness
time: 0.006; rss: 152MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 152MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 152MB	complete gated feature checking
time: 0.023; rss: 152MB	early lint checks
time: 0.007; rss: 152MB	AST validation
time: 0.075; rss: 166MB	name resolution
time: 0.058; rss: 200MB	lowering ast -> hir
time: 0.009; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 154MB	language item collection
time: 0.011; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.045; rss: 177MB	region resolution
time: 0.007; rss: 177MB	loop checking
time: 0.002; rss: 177MB	static item recursion checking
time: 0.381; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 182MB	stability checking
time: 0.055; rss: 190MB	type collecting
time: 0.004; rss: 190MB	variance inference
time: 0.006; rss: 194MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.089; rss: 200MB	wf checking
time: 0.195; rss: 208MB	item-types checking
time: 3.596; rss: 268MB	item-bodies checking
time: 0.000; rss: 268MB	drop-impl checking
time: 0.221; rss: 277MB	const checking
time: 0.067; rss: 278MB	privacy checking
time: 0.021; rss: 284MB	intrinsic checking
time: 0.016; rss: 284MB	effect checking
time: 0.049; rss: 284MB	match checking
time: 0.046; rss: 291MB	liveness checking
time: 0.173; rss: 293MB	rvalue checking
time: 0.366; rss: 482MB	MIR dump
  time: 0.057; rss: 483MB	SimplifyCfg
  time: 0.075; rss: 484MB	QualifyAndPromoteConstants
  time: 0.122; rss: 500MB	TypeckMir
  time: 0.004; rss: 500MB	SimplifyBranches
  time: 0.033; rss: 500MB	SimplifyCfg
time: 0.291; rss: 500MB	MIR cleanup and validation
time: 0.479; rss: 500MB	borrow checking
time: 0.026; rss: 500MB	reachability checking
time: 0.044; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.186; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.029; rss: 500MB	SimplifyCfg
  time: 0.072; rss: 509MB	EraseRegions
  time: 0.012; rss: 509MB	AddCallGuards
  time: 0.279; rss: 529MB	ElaborateDrops
  time: 0.004; rss: 529MB	NoLandingPads
  time: 0.056; rss: 529MB	SimplifyCfg
  time: 0.032; rss: 529MB	InstCombine
  time: 0.013; rss: 529MB	Deaggregator
  time: 0.004; rss: 529MB	CopyPropagation
  time: 0.041; rss: 529MB	SimplifyLocals
  time: 0.011; rss: 529MB	AddCallGuards
  time: 0.003; rss: 529MB	PreTrans
time: 0.559; rss: 529MB	MIR optimisations
  time: 0.076; rss: 537MB	write metadata
  time: 0.401; rss: 550MB	translation item collection
  time: 0.073; rss: 554MB	codegen unit partitioning
  time: 0.048; rss: 1457MB	internalize symbols
time: 11.662; rss: 1457MB	translation
time: 0.000; rss: 1457MB	assert dep graph
time: 1.390; rss: 1485MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1200MB	llvm function passes [1]
time: 0.000; rss: 1200MB	llvm module passes [1]
time: 0.001; rss: 1212MB	llvm function passes [2]
time: 0.001; rss: 1214MB	llvm function passes [0]
time: 0.000; rss: 1214MB	llvm module passes [2]
time: 0.000; rss: 1214MB	llvm module passes [0]
time: 0.003; rss: 1216MB	llvm function passes [6]
time: 0.008; rss: 1220MB	llvm function passes [3]
time: 0.001; rss: 1220MB	llvm function passes [8]
time: 0.000; rss: 1220MB	llvm module passes [3]
time: 0.001; rss: 1220MB	llvm module passes [8]
time: 0.009; rss: 1220MB	llvm function passes [7]
time: 0.005; rss: 1220MB	codegen passes [1]
time: 0.008; rss: 1220MB	codegen passes [2]
time: 0.010; rss: 1227MB	codegen passes [0]
time: 0.024; rss: 1229MB	llvm function passes [4]
time: 0.015; rss: 1229MB	codegen passes [8]
time: 0.024; rss: 1231MB	llvm module passes [6]
time: 0.024; rss: 1233MB	llvm module passes [7]
time: 0.024; rss: 1233MB	llvm function passes [1]
time: 0.012; rss: 1233MB	llvm module passes [4]
time: 0.025; rss: 1233MB	codegen passes [3]
time: 0.013; rss: 1233MB	llvm function passes [8]
time: 0.000; rss: 1236MB	llvm function passes [10]
time: 0.000; rss: 1236MB	llvm module passes [10]
time: 0.001; rss: 1236MB	codegen passes [10]
time: 0.008; rss: 1236MB	llvm module passes [8]
time: 0.014; rss: 1238MB	llvm module passes [1]
time: 0.038; rss: 1240MB	llvm function passes [2]
time: 0.015; rss: 1246MB	llvm function passes [10]
time: 0.001; rss: 1246MB	llvm module passes [10]
time: 0.010; rss: 1246MB	llvm module passes [2]
time: 0.000; rss: 1257MB	llvm function passes [16]
time: 0.043; rss: 1259MB	llvm function passes [12]
time: 0.001; rss: 1259MB	llvm module passes [16]
time: 0.000; rss: 1261MB	llvm function passes [21]
