commit 253b7c1e1a919a6b722c29a04241d6f08ff8c79a
Merge: 645dd01 77145b3
Author: bors <bors@rust-lang.org>
Date:   Sun Apr 24 20:17:08 2016 -0700

    Auto merge of #33120 - tclfs:patch-2, r=Manishearth
    
    docs: Highlight a keyword
rustc: ./issue-32278-big-array-of-strings
/root/rust/x86_64-unknown-linux-gnu/stage2/bin/rustc big-array-of-strings.rs -Ztime-passes -Zinput-stats
time: 0.178; rss: 66MB	parsing
Lines of code:             65577
Pre-expansion node count:  65552
time: 0.011; rss: 66MB	configuration 1
time: 0.000; rss: 66MB	recursion limit
time: 0.001; rss: 66MB	gated macro checking
time: 0.000; rss: 66MB	crate injection
time: 0.004; rss: 71MB	macro loading
time: 0.000; rss: 71MB	plugin loading
time: 0.000; rss: 71MB	plugin registration
time: 0.043; rss: 77MB	expansion
time: 0.001; rss: 77MB	complete gated feature checking 1
time: 0.011; rss: 77MB	configuration 2
time: 0.000; rss: 77MB	gated configuration checking
time: 0.006; rss: 77MB	maybe building test harness
time: 0.005; rss: 77MB	prelude injection
time: 0.000; rss: 77MB	checking that all macro invocations are gone
time: 0.000; rss: 77MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 77MB	complete gated feature checking 2
time: 0.001; rss: 77MB	const fn bodies and arguments
Post-expansion node count: 65565
time: 0.006; rss: 77MB	assigning node ids
time: 0.001; rss: 77MB	collecting defs
time: 0.002; rss: 78MB	external crate/lib resolution
time: 0.009; rss: 90MB	lowering ast -> hir
time: 0.002; rss: 92MB	indexing hir
time: 0.001; rss: 92MB	attribute checking
time: 0.008; rss: 92MB	early lint checks
time: 0.001; rss: 79MB	language item collection
time: 0.002; rss: 83MB	name resolution
time: 0.001; rss: 83MB	lifetime resolution
time: 0.000; rss: 83MB	looking for entry point
time: 0.000; rss: 83MB	looking for plugin registrar
time: 0.010; rss: 90MB	region resolution
time: 0.001; rss: 90MB	loop checking
time: 0.002; rss: 90MB	static item recursion checking
time: 0.000; rss: 90MB	load_dep_graph
time: 0.000; rss: 90MB	type collecting
time: 0.000; rss: 90MB	variance inference
time: 0.006; rss: 98MB	coherence checking
time: 0.001; rss: 98MB	wf checking
time: 1.091; rss: 194MB	item-types checking
time: 0.000; rss: 194MB	item-bodies checking
time: 0.000; rss: 194MB	drop-impl checking
time: 0.023; rss: 195MB	const checking
time: 0.003; rss: 195MB	privacy checking
time: 0.001; rss: 195MB	stability index
time: 0.000; rss: 195MB	intrinsic checking
time: 0.000; rss: 195MB	effect checking
time: 0.000; rss: 195MB	match checking
time: 0.001; rss: 195MB	liveness checking
time: 0.000; rss: 195MB	rvalue checking
time: 0.001; rss: 195MB	MIR dump
time: 0.000; rss: 195MB	MIR passes
time: 0.001; rss: 195MB	borrow checking
time: 0.000; rss: 195MB	reachability checking
time: 0.001; rss: 195MB	death checking
time: 0.001; rss: 195MB	stability checking
time: 0.000; rss: 195MB	unused lib feature checking
time: 0.033; rss: 195MB	lint checking
time: 0.001; rss: 195MB	resolving dependency formats
time: 0.000; rss: 195MB	Prepare MIR codegen passes
  time: 0.001; rss: 197MB	translation item collection
  time: 0.000; rss: 197MB	codegen unit partitioning
  time: 0.000; rss: 201MB	write metadata
time: 0.085; rss: 201MB	translation
time: 0.000; rss: 201MB	assert dep graph
time: 0.000; rss: 201MB	serialize dep graph
  time: 0.003; rss: 89MB	llvm function passes [0]
  time: 0.000; rss: 89MB	llvm module passes [0]
  time: 0.171; rss: 90MB	codegen passes [0]
  time: 0.000; rss: 79MB	codegen passes [0]
time: 0.187; rss: 79MB	LLVM passes
  time: 0.195; rss: 79MB	running linker
time: 0.196; rss: 79MB	linking
done
