commit 8545424b96a3b6549221568e2771bcb0281152a7
Merge: 646015c 1253e82
Author: bors <bors@rust-lang.org>
Date:   Sat Jun 18 01:58:28 2016 -0700

    Auto merge of #34314 - tshepang:misnamed, r=steveklabnik
    
    doc: fix mis-named binding & remove not needed `mut`
rustc: ./issue-32278-big-array-of-strings
/root/rust/x86_64-unknown-linux-gnu/stage2/bin/rustc big-array-of-strings.rs -Ztime-passes -Zinput-stats
time: 0.151; rss: 67MB	parsing
Lines of code:             65577
Pre-expansion node count:  65552
time: 0.012; rss: 67MB	configuration
time: 0.000; rss: 67MB	recursion limit
time: 0.000; rss: 67MB	crate injection
time: 0.000; rss: 67MB	plugin loading
time: 0.000; rss: 67MB	plugin registration
time: 0.048; rss: 102MB	expansion
time: 0.000; rss: 102MB	maybe building test harness
time: 0.000; rss: 102MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 102MB	complete gated feature checking
Post-expansion node count: 65565
time: 0.006; rss: 102MB	assigning node ids
time: 0.001; rss: 102MB	collecting defs
time: 0.004; rss: 102MB	external crate/lib resolution
time: 0.008; rss: 102MB	early lint checks
time: 0.001; rss: 102MB	AST validation
time: 0.002; rss: 102MB	name resolution
time: 0.009; rss: 120MB	lowering ast -> hir
time: 0.002; rss: 122MB	indexing hir
time: 0.001; rss: 122MB	attribute checking
time: 0.001; rss: 113MB	language item collection
time: 0.001; rss: 113MB	lifetime resolution
time: 0.000; rss: 113MB	looking for entry point
time: 0.000; rss: 113MB	looking for plugin registrar
time: 0.007; rss: 120MB	region resolution
time: 0.001; rss: 120MB	loop checking
time: 0.002; rss: 120MB	static item recursion checking
time: 0.000; rss: 120MB	load_dep_graph
time: 0.000; rss: 120MB	type collecting
time: 0.000; rss: 120MB	variance inference
time: 0.005; rss: 123MB	coherence checking
time: 0.001; rss: 123MB	wf checking
time: 0.987; rss: 140MB	item-types checking
time: 0.000; rss: 140MB	item-bodies checking
time: 0.000; rss: 140MB	drop-impl checking
time: 0.022; rss: 143MB	const checking
time: 0.002; rss: 143MB	privacy checking
time: 0.001; rss: 143MB	stability index
time: 0.001; rss: 143MB	intrinsic checking
time: 0.000; rss: 143MB	effect checking
time: 0.000; rss: 143MB	match checking
time: 0.001; rss: 143MB	liveness checking
time: 0.000; rss: 143MB	rvalue checking
time: 0.056; rss: 148MB	MIR dump
time: 0.002; rss: 148MB	MIR passes
time: 0.001; rss: 148MB	borrow checking
time: 0.000; rss: 148MB	reachability checking
time: 0.001; rss: 148MB	death checking
time: 0.001; rss: 148MB	stability checking
time: 0.000; rss: 148MB	unused lib feature checking
time: 0.029; rss: 148MB	lint checking
time: 0.001; rss: 148MB	resolving dependency formats
time: 0.001; rss: 148MB	Prepare MIR codegen passes
  time: 0.000; rss: 149MB	write metadata
  time: 0.001; rss: 149MB	translation item collection
  time: 0.000; rss: 149MB	codegen unit partitioning
time: 0.093; rss: 158MB	translation
time: 0.000; rss: 158MB	assert dep graph
time: 0.000; rss: 158MB	serialize dep graph
  time: 0.003; rss: 105MB	llvm function passes [0]
  time: 0.000; rss: 105MB	llvm module passes [0]
  time: 0.167; rss: 108MB	codegen passes [0]
  time: 0.000; rss: 97MB	codegen passes [0]
time: 0.183; rss: 97MB	LLVM passes
  time: 0.196; rss: 97MB	running linker
time: 0.198; rss: 97MB	linking
done
