commit c9852e2e550306a738653a5d4d16cab43454776f
Merge: f6f050d e584a49
Author: bors <bors@rust-lang.org>
Date:   Thu Feb 25 09:38:51 2016 +0000

    Auto merge of #31882 - Manishearth:rollup, r=Manishearth
    
    - Successful merges: #31362, #31793, #31800, #31809, #31818, #31827, #31831, #31835, #31837, #31846
    - Failed merges:
rustc: ./regex.0.1.30
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling regex v0.1.30 (file:///root/benchmarks/regex.0.1.30)
time: 0.083; rss: 43MB	parsing
Lines of code:             8558
Pre-expansion node count:  58217
time: 0.012; rss: 43MB	configuration 1
time: 0.000; rss: 43MB	recursion limit
time: 0.001; rss: 43MB	gated macro checking
time: 0.000; rss: 43MB	crate injection
time: 0.003; rss: 46MB	macro loading
time: 0.000; rss: 46MB	plugin loading
time: 0.000; rss: 46MB	plugin registration
time: 0.063; rss: 49MB	expansion
time: 0.001; rss: 49MB	complete gated feature checking 1
time: 0.014; rss: 49MB	configuration 2
time: 0.000; rss: 49MB	gated configuration checking
time: 0.007; rss: 49MB	maybe building test harness
time: 0.006; rss: 49MB	prelude injection
time: 0.001; rss: 49MB	checking that all macro invocations are gone
time: 0.000; rss: 49MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 49MB	complete gated feature checking 2
time: 0.001; rss: 49MB	const fn bodies and arguments
Post-expansion node count: 68727
time: 0.007; rss: 49MB	assigning node ids
time: 0.009; rss: 57MB	lowering ast -> hir
time: 0.004; rss: 58MB	indexing hir
time: 0.001; rss: 58MB	attribute checking
time: 0.007; rss: 58MB	early lint checks
time: 0.001; rss: 50MB	external crate/lib resolution
time: 0.001; rss: 50MB	language item collection
time: 0.009; rss: 58MB	resolution
time: 0.001; rss: 58MB	lifetime resolution
time: 0.000; rss: 58MB	looking for entry point
time: 0.000; rss: 58MB	looking for plugin registrar
time: 0.008; rss: 60MB	region resolution
time: 0.001; rss: 60MB	loop checking
time: 0.001; rss: 60MB	static item recursion checking
time: 0.003; rss: 63MB	type collecting
time: 0.000; rss: 63MB	variance inference
time: 0.022; rss: 80MB	coherence checking
time: 0.010; rss: 80MB	wf checking
time: 0.086; rss: 85MB	item-types checking
time: 0.199; rss: 96MB	item-bodies checking
time: 0.000; rss: 96MB	drop-impl checking
time: 0.028; rss: 97MB	const checking
time: 0.006; rss: 97MB	privacy checking
time: 0.001; rss: 97MB	stability index
time: 0.001; rss: 97MB	intrinsic checking
time: 0.001; rss: 97MB	effect checking
time: 0.003; rss: 97MB	match checking
time: 0.002; rss: 98MB	liveness checking
time: 0.007; rss: 98MB	rvalue checking
time: 0.019; rss: 99MB	MIR dump
time: 0.000; rss: 99MB	MIR passes
time: 0.022; rss: 99MB	borrow checking
time: 0.000; rss: 99MB	reachability checking
time: 0.003; rss: 99MB	death checking
time: 0.003; rss: 99MB	stability checking
time: 0.000; rss: 99MB	unused lib feature checking
time: 0.028; rss: 99MB	lint checking
time: 0.000; rss: 99MB	resolving dependency formats
time: 0.002; rss: 99MB	erasing regions from MIR
  time: 0.064; rss: 113MB	translation item collection
  time: 0.145; rss: 156MB	write metadata
time: 0.687; rss: 156MB	translation
  time: 0.038; rss: 108MB	llvm function passes [0]
  time: 0.019; rss: 109MB	llvm module passes [0]
  time: 0.621; rss: 114MB	codegen passes [0]
  time: 0.001; rss: 95MB	codegen passes [0]
time: 0.759; rss: 93MB	LLVM passes
time: 0.066; rss: 92MB	linking
done
