commit a43eb4e774f6d51b7012bba3d25212819ab0e3dc
Merge: a4f781e 7bfaeaa
Author: bors <bors@rust-lang.org>
Date:   Tue Apr 12 16:24:33 2016 -0700

    Auto merge of #32590 - alexcrichton:rustbuild-tidy-checks, r=brson
    
    rustbuild: Migrate tidy checks to Rust
    
    This commit rewrites all of the tidy checks we have, namely:
    
    * featureck
    * errorck
    * tidy
    * binaries
    
    into Rust under a new `tidy` tool inside of the `src/tools` directory. This at
    the same time deletes all the corresponding Python tidy checks so we can be sure
    to only have one source of truth for all the tidy checks.
    
    cc #31590
rustc: ./rust-encoding.0.2.32
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling encoding v0.2.32 (file:///root/benchmarks/rust-encoding.0.2.32)
time: 0.031; rss: 40MB	parsing
Lines of code:             6441
Pre-expansion node count:  30335
time: 0.006; rss: 40MB	configuration 1
time: 0.000; rss: 40MB	recursion limit
time: 0.000; rss: 40MB	gated macro checking
time: 0.000; rss: 40MB	crate injection
time: 0.003; rss: 43MB	macro loading
time: 0.000; rss: 43MB	plugin loading
time: 0.000; rss: 43MB	plugin registration
time: 0.044; rss: 46MB	expansion
time: 0.001; rss: 46MB	complete gated feature checking 1
time: 0.006; rss: 46MB	configuration 2
time: 0.000; rss: 46MB	gated configuration checking
time: 0.003; rss: 46MB	maybe building test harness
time: 0.003; rss: 46MB	prelude injection
time: 0.000; rss: 46MB	checking that all macro invocations are gone
time: 0.000; rss: 46MB	checking for inline asm in case the target doesn't support it
time: 0.000; rss: 46MB	complete gated feature checking 2
time: 0.000; rss: 46MB	const fn bodies and arguments
Post-expansion node count: 41611
time: 0.003; rss: 46MB	assigning node ids
time: 0.007; rss: 48MB	lowering ast -> hir
time: 0.003; rss: 49MB	indexing hir
time: 0.000; rss: 49MB	attribute checking
time: 0.002; rss: 49MB	early lint checks
time: 0.001; rss: 49MB	external crate/lib resolution
time: 0.000; rss: 49MB	language item collection
time: 0.008; rss: 58MB	resolution
time: 0.000; rss: 58MB	lifetime resolution
time: 0.000; rss: 58MB	looking for entry point
time: 0.000; rss: 58MB	looking for plugin registrar
time: 0.006; rss: 59MB	region resolution
time: 0.000; rss: 59MB	loop checking
time: 0.000; rss: 59MB	static item recursion checking
time: 0.000; rss: 59MB	load_dep_graph
time: 0.005; rss: 61MB	type collecting
time: 0.000; rss: 61MB	variance inference
time: 0.022; rss: 78MB	coherence checking
time: 0.017; rss: 78MB	wf checking
time: 0.013; rss: 79MB	item-types checking
time: 0.215; rss: 89MB	item-bodies checking
time: 0.000; rss: 89MB	drop-impl checking
time: 0.011; rss: 89MB	const checking
time: 0.003; rss: 89MB	privacy checking
time: 0.000; rss: 89MB	stability index
time: 0.001; rss: 89MB	intrinsic checking
time: 0.000; rss: 89MB	effect checking
time: 0.006; rss: 89MB	match checking
time: 0.002; rss: 89MB	liveness checking
time: 0.006; rss: 89MB	rvalue checking
time: 0.029; rss: 96MB	MIR dump
time: 0.008; rss: 96MB	MIR passes
time: 0.022; rss: 96MB	borrow checking
time: 0.000; rss: 96MB	reachability checking
time: 0.002; rss: 96MB	death checking
time: 0.002; rss: 96MB	stability checking
time: 0.000; rss: 96MB	unused lib feature checking
time: 0.023; rss: 97MB	lint checking
time: 0.000; rss: 97MB	resolving dependency formats
time: 0.003; rss: 97MB	Prepare MIR codegen passes
  time: 0.026; rss: 109MB	translation item collection
  time: 0.058; rss: 141MB	write metadata
time: 0.394; rss: 141MB	translation
time: 0.000; rss: 141MB	assert dep graph
time: 0.000; rss: 141MB	serialize dep graph
  time: 0.027; rss: 106MB	llvm function passes [0]
  time: 0.050; rss: 109MB	llvm module passes [0]
  time: 0.580; rss: 115MB	codegen passes [0]
  time: 0.001; rss: 100MB	codegen passes [0]
time: 0.722; rss: 99MB	LLVM passes
time: 0.054; rss: 97MB	linking
done
