commit 310d8996f40fceaa8d294577276cfb1b080c8bc9
Merge: 75e23e1 02a1eef
Author: bors <bors@rust-lang.org>
Date:   Wed May 18 00:27:49 2016 -0700

    Auto merge of #33654 - petrochenkov:hirident, r=nrc
    
    Remove hir::Ident
    
    Now when name resolution is done on AST, `hir::Ident` is no longer necessary.
    See https://github.com/rust-lang/rust/pull/30145 for more details.
    
    r? @nrc
rustc: ./issue-32278-big-array-of-strings
/root/rust/x86_64-unknown-linux-gnu/stage2/bin/rustc big-array-of-strings.rs -Ztime-passes -Zinput-stats
time: 0.152; rss: 68MB	parsing
Lines of code:             65577
Pre-expansion node count:  65552
time: 0.012; rss: 68MB	configuration 1
time: 0.000; rss: 68MB	recursion limit
time: 0.000; rss: 68MB	crate injection
time: 0.004; rss: 73MB	macro loading
time: 0.000; rss: 73MB	plugin loading
time: 0.000; rss: 73MB	plugin registration
time: 0.042; rss: 78MB	expansion
time: 0.011; rss: 78MB	configuration 2
time: 0.000; rss: 78MB	gated configuration checking
time: 0.005; rss: 78MB	maybe building test harness
time: 0.005; rss: 78MB	prelude injection
time: 0.001; rss: 78MB	checking that all macro invocations are gone
time: 0.000; rss: 78MB	checking for inline asm in case the target doesn't support it
time: 0.001; rss: 78MB	complete gated feature checking
Post-expansion node count: 65565
time: 0.006; rss: 78MB	assigning node ids
time: 0.001; rss: 78MB	collecting defs
time: 0.004; rss: 78MB	external crate/lib resolution
time: 0.008; rss: 78MB	early lint checks
time: 0.002; rss: 82MB	name resolution
time: 0.009; rss: 95MB	lowering ast -> hir
time: 0.002; rss: 97MB	indexing hir
time: 0.001; rss: 97MB	attribute checking
time: 0.001; rss: 85MB	language item collection
time: 0.001; rss: 85MB	lifetime resolution
time: 0.000; rss: 85MB	looking for entry point
time: 0.000; rss: 85MB	looking for plugin registrar
time: 0.006; rss: 91MB	region resolution
time: 0.001; rss: 91MB	loop checking
time: 0.001; rss: 91MB	static item recursion checking
time: 0.000; rss: 91MB	load_dep_graph
time: 0.000; rss: 91MB	type collecting
time: 0.000; rss: 91MB	variance inference
time: 0.006; rss: 100MB	coherence checking
time: 0.001; rss: 100MB	wf checking
time: 0.867; rss: 119MB	item-types checking
time: 0.000; rss: 119MB	item-bodies checking
time: 0.000; rss: 119MB	drop-impl checking
time: 0.022; rss: 116MB	const checking
time: 0.002; rss: 116MB	privacy checking
time: 0.000; rss: 116MB	stability index
time: 0.000; rss: 116MB	intrinsic checking
time: 0.000; rss: 116MB	effect checking
time: 0.000; rss: 116MB	match checking
time: 0.001; rss: 116MB	liveness checking
time: 0.000; rss: 116MB	rvalue checking
time: 0.059; rss: 128MB	MIR dump
time: 0.002; rss: 128MB	MIR passes
time: 0.001; rss: 128MB	borrow checking
time: 0.000; rss: 128MB	reachability checking
time: 0.001; rss: 128MB	death checking
time: 0.001; rss: 128MB	stability checking
time: 0.000; rss: 128MB	unused lib feature checking
time: 0.029; rss: 128MB	lint checking
time: 0.001; rss: 128MB	resolving dependency formats
time: 0.001; rss: 128MB	Prepare MIR codegen passes
  time: 0.001; rss: 130MB	translation item collection
  time: 0.000; rss: 130MB	codegen unit partitioning
  time: 0.000; rss: 146MB	write metadata
time: 0.093; rss: 131MB	translation
time: 0.000; rss: 131MB	assert dep graph
time: 0.000; rss: 131MB	serialize dep graph
  time: 0.003; rss: 90MB	llvm function passes [0]
  time: 0.000; rss: 90MB	llvm module passes [0]
  time: 0.160; rss: 90MB	codegen passes [0]
  time: 0.000; rss: 78MB	codegen passes [0]
time: 0.175; rss: 78MB	LLVM passes
  time: 0.186; rss: 78MB	running linker
time: 0.187; rss: 78MB	linking
done
