commit cfa668f3bf8156730b419deec51fb980af23b8bb
Merge: 7ad7232 3e15dc1
Author: bors <bors@rust-lang.org>
Date:   Thu Dec 15 06:23:11 2016 +0000

    Auto merge of #37702 - redox-os:redox, r=brson
    
    Redox Support Preview
    
    # Important - This is only a preview of a working `sys::redox`.
    
    Compiling the Redox default distribution with this `libstd` results in a fully functioning distribution. As such, all further changes would be cosmetic or implementing features that have not been used by the default distribution (of which there are only a small number).
    
    I do not expect this to be merged, but would like to discuss how it may be improved and get feedback.
    
    There are a few `unimplemented!()` - `cloexec` for example. I have documented them below. These would be resolved before desiring a merge.
    
    There are also issues with how the Redox syscall library is called - currently I am using a re-export in `libc` but that probably would not be desired.
rustc: ./syntex-0.42.2@010-incr@010-incr
find . -name '*.rs' | xargs touch
RUSTFLAGS="-Z incremental=incr" \
    cargo rustc -p syntex_syntax  -- \
    -Ztime-passes -Zinput-stats -Z incremental-info
time: 0.092; rss: 75MB	parsing
Lines of code:             33687
Pre-expansion node count:  223115
time: 0.000; rss: 75MB	recursion limit
time: 0.000; rss: 75MB	crate injection
time: 0.000; rss: 75MB	plugin loading
time: 0.000; rss: 75MB	plugin registration
time: 0.243; rss: 151MB	expansion
time: 0.000; rss: 151MB	maybe building test harness
time: 0.006; rss: 151MB	maybe creating a macro crate
Post-expansion node count: 638863
time: 0.000; rss: 151MB	checking for inline asm in case the target doesn't support it
time: 0.012; rss: 151MB	complete gated feature checking
time: 0.023; rss: 151MB	early lint checks
time: 0.007; rss: 151MB	AST validation
time: 0.075; rss: 166MB	name resolution
time: 0.058; rss: 199MB	lowering ast -> hir
time: 0.010; rss: 192MB	indexing hir
time: 0.006; rss: 192MB	attribute checking
time: 0.002; rss: 153MB	language item collection
time: 0.011; rss: 156MB	lifetime resolution
time: 0.000; rss: 156MB	looking for entry point
time: 0.000; rss: 156MB	looking for plugin registrar
time: 0.045; rss: 176MB	region resolution
time: 0.008; rss: 176MB	loop checking
time: 0.002; rss: 176MB	static item recursion checking
time: 0.381; rss: 178MB	compute_incremental_hashes_map
time: 0.000; rss: 178MB	load_dep_graph
time: 0.009; rss: 178MB	stability index
time: 0.021; rss: 181MB	stability checking
time: 0.058; rss: 190MB	type collecting
time: 0.004; rss: 190MB	variance inference
time: 0.006; rss: 193MB	impl wf inference
time: 0.026; rss: 197MB	coherence checking
time: 0.090; rss: 199MB	wf checking
time: 0.203; rss: 208MB	item-types checking
time: 3.624; rss: 266MB	item-bodies checking
time: 0.000; rss: 266MB	drop-impl checking
time: 0.218; rss: 276MB	const checking
time: 0.057; rss: 276MB	privacy checking
time: 0.020; rss: 283MB	intrinsic checking
time: 0.016; rss: 283MB	effect checking
time: 0.049; rss: 283MB	match checking
time: 0.047; rss: 290MB	liveness checking
time: 0.190; rss: 292MB	rvalue checking
time: 0.474; rss: 481MB	MIR dump
  time: 0.084; rss: 483MB	SimplifyCfg
  time: 0.099; rss: 483MB	QualifyAndPromoteConstants
  time: 0.163; rss: 500MB	TypeckMir
  time: 0.006; rss: 500MB	SimplifyBranches
  time: 0.046; rss: 500MB	SimplifyCfg
time: 0.398; rss: 500MB	MIR cleanup and validation
time: 0.492; rss: 500MB	borrow checking
time: 0.024; rss: 500MB	reachability checking
time: 0.038; rss: 500MB	death checking
time: 0.000; rss: 500MB	unused lib feature checking
time: 0.179; rss: 500MB	lint checking
time: 0.000; rss: 500MB	resolving dependency formats
  time: 0.004; rss: 500MB	NoLandingPads
  time: 0.027; rss: 500MB	SimplifyCfg
  time: 0.064; rss: 509MB	EraseRegions
  time: 0.011; rss: 509MB	AddCallGuards
  time: 0.271; rss: 528MB	ElaborateDrops
  time: 0.003; rss: 528MB	NoLandingPads
  time: 0.052; rss: 528MB	SimplifyCfg
  time: 0.028; rss: 529MB	InstCombine
  time: 0.012; rss: 529MB	Deaggregator
  time: 0.004; rss: 529MB	CopyPropagation
  time: 0.035; rss: 529MB	SimplifyLocals
  time: 0.010; rss: 529MB	AddCallGuards
  time: 0.003; rss: 529MB	PreTrans
time: 0.523; rss: 529MB	MIR optimisations
  time: 0.065; rss: 537MB	write metadata
  time: 0.399; rss: 549MB	translation item collection
  time: 0.072; rss: 556MB	codegen unit partitioning
  time: 0.048; rss: 1457MB	internalize symbols
time: 11.722; rss: 1457MB	translation
time: 0.000; rss: 1457MB	assert dep graph
time: 1.929; rss: 1484MB	serialize dep graph
incremental: re-using 0 out of 50 modules
time: 0.000; rss: 1195MB	llvm function passes [1]
time: 0.000; rss: 1199MB	llvm module passes [1]
time: 0.001; rss: 1205MB	llvm function passes [0]
time: 0.000; rss: 1207MB	llvm module passes [0]
time: 0.002; rss: 1209MB	llvm function passes [2]
time: 0.000; rss: 1209MB	llvm module passes [2]
time: 0.002; rss: 1209MB	llvm function passes [3]
time: 0.000; rss: 1209MB	llvm module passes [3]
time: 0.002; rss: 1209MB	codegen passes [1]
time: 0.004; rss: 1209MB	llvm function passes [6]
time: 0.002; rss: 1209MB	llvm module passes [6]
time: 0.005; rss: 1209MB	codegen passes [0]
time: 0.001; rss: 1209MB	llvm function passes [0]
time: 0.000; rss: 1209MB	llvm module passes [0]
time: 0.011; rss: 1213MB	llvm function passes [5]
time: 0.017; rss: 1213MB	llvm function passes [4]
time: 0.006; rss: 1213MB	llvm module passes [5]
time: 0.007; rss: 1220MB	llvm module passes [4]
time: 0.016; rss: 1222MB	codegen passes [0]
time: 0.022; rss: 1222MB	codegen passes [2]
time: 0.022; rss: 1222MB	llvm function passes [8]
time: 0.028; rss: 1223MB	codegen passes [3]
time: 0.018; rss: 1223MB	llvm function passes [0]
time: 0.000; rss: 1241MB	llvm function passes [22]
time: 0.000; rss: 1241MB	llvm module passes [22]
time: 0.015; rss: 1241MB	llvm module passes [8]
time: 0.001; rss: 1241MB	codegen passes [22]
time: 0.009; rss: 1243MB	llvm module passes [0]
time: 0.000; rss: 1256MB	llvm function passes [15]
