commit d1e5e3ab43b02817e22a47a9678ee39ad4c6c96d
Merge: 731d375 76f22f4
Author: bors <bors@rust-lang.org>
Date:   Tue Jul 5 20:16:40 2016 -0700

    Auto merge of #34587 - ollie27:rustdoc_prim_titles, r=steveklabnik
    
    rustdoc: Remove paths from primitive page <title> tags
    
    Currently primitive pages have a title like "std::u8 - Rust" this changes
    it to "u8 - Rust" as "std::u8" is the name of a module not a primitive
    type.
rustc: ./hyper.0.5.0
cargo rustc -- -Ztime-passes -Zinput-stats
   Compiling hyper v0.5.0 (file:///root/benchmarks/hyper.0.5.0)
time: 0.040; rss: 87MB	parsing
Lines of code:             9154
Pre-expansion node count:  44838
time: 0.006; rss: 87MB	configuration
time: 0.000; rss: 91MB	recursion limit
time: 0.000; rss: 91MB	crate injection
time: 0.000; rss: 91MB	plugin loading
time: 0.000; rss: 91MB	plugin registration
time: 0.179; rss: 128MB	expansion
time: 0.000; rss: 128MB	maybe building test harness
time: 0.000; rss: 128MB	checking for inline asm in case the target doesn't support it
time: 0.003; rss: 128MB	complete gated feature checking
Post-expansion node count: 101579
time: 0.007; rss: 128MB	assigning node ids
time: 0.003; rss: 130MB	collecting defs
time: 0.011; rss: 140MB	external crate/lib resolution
time: 0.006; rss: 140MB	early lint checks
time: 0.001; rss: 140MB	AST validation
time: 0.017; rss: 146MB	name resolution
time: 0.009; rss: 153MB	lowering ast -> hir
time: 0.001; rss: 155MB	indexing hir
time: 0.001; rss: 155MB	attribute checking
time: 0.001; rss: 148MB	language item collection
time: 0.002; rss: 148MB	lifetime resolution
time: 0.000; rss: 148MB	looking for entry point
time: 0.000; rss: 148MB	looking for plugin registrar
time: 0.005; rss: 152MB	region resolution
time: 0.001; rss: 152MB	loop checking
time: 0.001; rss: 152MB	static item recursion checking
time: 0.000; rss: 152MB	load_dep_graph
time: 0.031; rss: 154MB	type collecting
time: 0.000; rss: 154MB	variance inference
time: 0.044; rss: 162MB	coherence checking
time: 0.098; rss: 163MB	wf checking
time: 0.035; rss: 163MB	item-types checking
time: 0.521; rss: 175MB	item-bodies checking
time: 0.000; rss: 175MB	drop-impl checking
time: 0.044; rss: 177MB	const checking
time: 0.008; rss: 177MB	privacy checking
time: 0.001; rss: 177MB	stability index
time: 0.006; rss: 177MB	intrinsic checking
time: 0.002; rss: 177MB	effect checking
time: 0.015; rss: 177MB	match checking
time: 0.005; rss: 177MB	liveness checking
time: 0.031; rss: 177MB	rvalue checking
time: 0.060; rss: 187MB	MIR dump
time: 0.043; rss: 187MB	MIR passes
time: 0.071; rss: 187MB	borrow checking
time: 0.003; rss: 187MB	reachability checking
time: 0.005; rss: 187MB	death checking
time: 0.005; rss: 187MB	stability checking
time: 0.000; rss: 187MB	unused lib feature checking
time: 0.048; rss: 187MB	lint checking
time: 0.000; rss: 187MB	resolving dependency formats
time: 0.092; rss: 191MB	Prepare MIR codegen passes
  time: 0.129; rss: 194MB	write metadata
  time: 0.184; rss: 199MB	translation item collection
  time: 0.007; rss: 201MB	codegen unit partitioning
time: 3.676; rss: 321MB	translation
time: 0.001; rss: 321MB	assert dep graph
time: 0.000; rss: 321MB	serialize dep graph
  time: 1.130; rss: 209MB	llvm function passes [0]
  time: 0.430; rss: 212MB	llvm module passes [0]
  time: 16.022; rss: 213MB	codegen passes [0]
  time: 0.002; rss: 213MB	codegen passes [0]
time: 18.670; rss: 213MB	LLVM passes
time: 0.177; rss: 164MB	linking
done
